,id,cases
12/31/2019,1,27
1/1/2020,2,27
1/2/2020,3,27
1/3/2020,4,44
1/4/2020,5,44
1/5/2020,6,59
1/6/2020,7,59
1/7/2020,8,59
1/8/2020,9,59
1/9/2020,10,59
1/10/2020,11,59
1/11/2020,12,59
1/12/2020,13,59
1/13/2020,14,60
1/14/2020,15,60
1/15/2020,16,61
1/16/2020,17,61
1/17/2020,18,66
1/18/2020,19,83
1/19/2020,20,219
1/20/2020,21,239
1/21/2020,22,392
1/22/2020,23,534
1/23/2020,24,631
1/24/2020,25,897
1/25/2020,26,1350
1/26/2020,27,2023
1/27/2020,28,2820
1/28/2020,29,4587
1/29/2020,30,6067
1/30/2020,31,7823
1/31/2020,32,9824
2/1/2020,33,11946
2/2/2020,34,14554
2/3/2020,35,17372
2/4/2020,36,20615
2/5/2020,37,24523
2/6/2020,38,28274
2/7/2020,39,31492
2/8/2020,40,34934
2/9/2020,41,37552
2/10/2020,42,40544
2/11/2020,43,43106
2/12/2020,44,45178
2/13/2020,45,60329
2/14/2020,46,64544
2/15/2020,47,67104
2/16/2020,48,69266
2/17/2020,49,71333
2/18/2020,50,73328
2/19/2020,51,75192
2/20/2020,52,75724
2/21/2020,53,76720
2/22/2020,54,77805
2/23/2020,55,78814
2/24/2020,56,79337
2/25/2020,57,80130
2/26/2020,58,80997
2/27/2020,59,82111
2/28/2020,60,83381
2/29/2020,61,85237
3/1/2020,62,87061
3/2/2020,63,89149
3/3/2020,64,91002
3/4/2020,65,93310
3/5/2020,66,95645
3/6/2020,67,98704
3/7/2020,68,102841
3/8/2020,69,106811
3/9/2020,70,110985
3/10/2020,71,115746
3/11/2020,72,120832
3/12/2020,73,128670
3/13/2020,74,138137
3/14/2020,75,148544
3/15/2020,76,160784
3/16/2020,77,173287
3/17/2020,78,187495
3/18/2020,79,204424
3/19/2020,80,224629
3/20/2020,81,255706
3/21/2020,82,287636
3/22/2020,83,321844
3/23/2020,84,356236
3/24/2020,85,400575
3/25/2020,86,442988
3/26/2020,87,496656
3/27/2020,88,557686
3/28/2020,89,622656
3/29/2020,90,685566
3/30/2020,91,742914
3/31/2020,92,807330
4/1/2020,93,881932
4/2/2020,94,959419
4/3/2020,95,1036848
4/4/2020,96,1118696
4/5/2020,97,1203951
4/6/2020,98,1270316
4/7/2020,99,1343286
4/8/2020,100,1420288
4/9/2020,101,1505289
4/10/2020,102,1592612
4/11/2020,103,1682209
4/12/2020,104,1757582
4/13/2020,105,1825979
4/14/2020,106,1890727
4/15/2020,107,1967245
4/16/2020,108,2045475
4/17/2020,109,2129397
4/18/2020,110,2211155
4/19/2020,111,2290792
4/20/2020,112,2361540
4/21/2020,113,2435203
4/22/2020,114,2521695
4/23/2020,115,2588000
4/24/2020,116,2666479
4/25/2020,117,2739303
4/26/2020,118,2839221
4/27/2020,119,2921067
4/28/2020,120,2986615
4/29/2020,121,3058816
4/30/2020,122,3137497
5/1/2020,123,3222984
5/2/2020,124,3311554
5/3/2020,125,3392447
5/4/2020,126,3469578
5/5/2020,127,3546041
5/6/2020,128,3624563
5/7/2020,129,3712077
5/8/2020,130,3804421
5/9/2020,131,3893577
5/10/2020,132,3982574
5/11/2020,133,4057387
5/12/2020,134,4127009
5/13/2020,135,4213081
5/14/2020,136,4299285
5/15/2020,137,4395844
5/16/2020,138,4492997
5/17/2020,139,4586035
5/18/2020,140,4665749
5/19/2020,141,4751930
5/20/2020,142,4847234
5/21/2020,143,4950463
5/22/2020,144,5058276
5/23/2020,145,5164181
5/24/2020,146,5264177
5/25/2020,147,5357392
5/26/2020,148,5446128
5/27/2020,149,5539764
5/28/2020,150,5642430
5/29/2020,151,5760799
5/30/2020,152,5882844
5/31/2020,153,6010987
6/1/2020,154,6117868
6/2/2020,155,6217787
6/3/2020,156,6330047
6/4/2020,157,6456728
6/5/2020,158,6583695
6/6/2020,159,6716794
6/7/2020,160,6842958
6/8/2020,161,6958168
6/9/2020,162,7063517
6/10/2020,163,7188612
6/11/2020,164,7322921
6/12/2020,165,7459253
6/13/2020,166,7603943
6/14/2020,167,7737571
6/15/2020,168,7859036
6/16/2020,169,7977619
6/17/2020,170,8118821
6/18/2020,171,8295461
6/19/2020,172,8433898
6/20/2020,173,8613001
6/21/2020,174,8772619
6/22/2020,175,8901495
6/23/2020,176,9037824
6/24/2020,177,9202314
6/25/2020,178,9377099
6/26/2020,179,9556124
6/27/2020,180,9744837
6/28/2020,181,9926110
6/29/2020,182,10085898
6/30/2020,183,10245860
7/1/2020,184,10437926
7/2/2020,185,10638859
7/3/2020,186,10847744
7/4/2020,187,11053353
7/5/2020,188,11244053
7/6/2020,189,11422018
7/7/2020,190,11597688
7/8/2020,191,11804635
7/9/2020,192,12020122
7/10/2020,193,12245409
7/11/2020,194,12477066
7/12/2020,195,12694752
7/13/2020,196,12890145
7/14/2020,197,13079349
7/15/2020,198,13302905
7/16/2020,199,13534808
7/17/2020,200,13789304
7/18/2020,201,14043851
7/19/2020,202,14273825
7/20/2020,203,14483157
7/21/2020,204,14684558
7/22/2020,205,14924236
7/23/2020,206,15205910
7/24/2020,207,15482244
7/25/2020,208,15766140
7/26/2020,209,16025627
7/27/2020,210,16257435
7/28/2020,211,16469682
7/29/2020,212,16713303
7/30/2020,213,17011397
7/31/2020,214,17301839
8/1/2020,215,17580732
8/2/2020,216,17848056
8/3/2020,217,18071761
8/4/2020,218,18276850
8/5/2020,219,18532360
8/6/2020,220,18809706
8/7/2020,221,19095920
8/8/2020,222,19371806
8/9/2020,223,19640056
8/10/2020,224,19869332
8/11/2020,225,20089808
8/12/2020,226,20350870
8/13/2020,227,20639883
8/14/2020,228,20926788
8/15/2020,229,21216031
8/16/2020,230,21475434
8/17/2020,231,21707579
8/18/2020,232,21904651
8/19/2020,233,22159559
8/20/2020,234,22440570
8/21/2020,235,22716781
8/22/2020,236,22970406
8/23/2020,237,23236871
8/24/2020,238,23461368
8/25/2020,239,23681725
8/26/2020,240,23936430
